key_length,block_length,num_blocks,p_err,success_rate,max_candidates_num,max_num_indices_to_encode,code_generation_strategy,sparsity,theoretic_key_rate,is_success,key_rate,encoding_size_rate,matrix_size_rate,bob_communication_rate,total_communication_rate,time_rate
50,10,5,0.0,0.9,100,3,linear,0,0.5849625007211562,True,0.50718800023077,0.68,28.52932501298082,3.2329018950778963,32.84000140854911,0.029005200000000002
50,10,5,0.0,0.9,100,3,linear,0,0.5849625007211562,True,0.5388872502451931,0.66,27.578347512548124,2.845484738335013,31.469907501359103,0.022295156
50,10,5,0.0,0.9,100,3,linear,0,0.5849625007211562,True,0.5705865002596162,0.64,26.62737001211543,2.549892702584635,30.191638715161602,0.019733274000000006
50,10,5,0.0,0.9,100,3,linear,0,0.5849625007211562,True,0.5388872502451931,0.66,27.578347512548124,2.937252115046939,31.56167487807103,0.019854334000000015
50,10,5,0.0,0.9,100,3,linear,0,0.5849625007211562,True,0.5705865002596162,0.64,26.62737001211543,2.554822549806051,30.196568562383018,0.020225029999999988
50,10,5,0.01,0.9,10000,3,linear,0,0.5141693648252452,True,0.1267970000576925,0.92,40.25804751831737,5.454080066125625,47.17029308510646,19.563065385999998
50,10,5,0.01,0.9,10000,3,linear,0,0.5141693648252452,True,0.19019550008653877,0.88,38.35609251745198,4.94578854888684,44.69664806697344,19.82075968
50,10,5,0.01,0.9,10000,3,linear,0,0.5141693648252452,True,0.15849625007211562,0.9,39.307070017884676,5.195906767948571,45.92944303648229,19.419677827999998
50,10,5,0.01,0.9,10000,3,linear,0,0.5141693648252452,True,0.1267970000576925,0.92,40.25804751831737,5.423281846565597,47.13949486554643,19.57183348400001
50,10,5,0.01,0.9,10000,3,linear,0,0.5141693648252452,True,0.15849625007211562,0.9,39.307070017884676,5.25727844248918,45.99081471102289,19.720667635999998
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.4120902501875006,0.74,29.480302513413502,1.4786836782581565,32.13185844220531,0.05636041000000001
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,31.382257514278894,1.9190730052570848,34.537601270098484,0.039503448
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.2852932501298081,0.82,32.01624251456736,2.019592233832122,35.33550399899082,0.04113250400000002
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,31.382257514278894,1.9528678444629584,34.57139610930435,0.046498880000000006
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,31.38225751427889,1.736922877563895,34.355451142405286,0.04338502000000002
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,31.382257514278894,1.787977186351335,34.406505451192736,0.045761398
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,31.382257514278894,1.7134537155015346,34.33198198034293,0.040836852
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.38039100017307753,0.76,30.431280013846198,1.7777857365159067,33.413637250910185,0.053294560000000005
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,31.382257514278894,1.8766639557110114,34.49519222055241,0.04719918200000002
50,10,5,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.2852932501298081,0.82,33.28421251514428,2.3247739133542904,36.908655679089925,0.04765610000000002
50,10,5,0.01,0.9,150,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,31.382257514278894,2.3748836299064284,34.99341189474782,0.11128327200000002
50,10,5,0.01,0.9,150,3,linear,0,0.5141693648252452,True,0.31699250014423125,0.8,32.96722001500006,2.6736267224644195,36.9088167380414,0.08760953400000002
50,10,5,0.01,0.9,150,3,linear,0,0.5141693648252452,True,0.38039100017307753,0.76,31.06526501413466,2.2486267729675875,34.51846328765033,0.11589996
50,10,5,0.01,0.9,150,3,linear,0,0.5141693648252452,True,0.38039100017307753,0.76,31.06526501413466,2.3738503387370957,34.64368685341984,0.10985962799999996
50,10,5,0.01,0.9,150,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,32.01624251456736,2.5405355391088107,35.79304880423867,0.11163008000000005
50,10,5,0.01,0.9,500,3,linear,0,0.5141693648252452,True,0.38039100017307753,0.76,31.69925001442313,3.106680679295286,36.01050219426649,0.29033733
50,10,5,0.01,0.9,500,3,linear,0,0.5141693648252452,True,0.31699250014423125,0.8,32.3332350147116,3.312852356795125,36.91405737208365,0.275168622
50,10,5,0.01,0.9,500,3,linear,0,0.5141693648252452,False,0,0.74,30.748272513990432,2.804635672923092,34.72578043744718,0.277005592
50,10,5,0.01,0.9,500,3,linear,0,0.5141693648252452,True,0.38039100017307753,0.76,31.69925001442313,2.9775436788821303,35.881365193853334,0.26855583799999994
50,10,5,0.01,0.9,500,3,linear,0,0.5141693648252452,True,0.38039100017307753,0.76,31.69925001442313,2.8078252110535034,35.71164672602471,0.2729034459999998
100,10,10,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,34.235190015576975,3.0252955200439913,38.49675628618347,0.064490778
100,10,10,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.36454137516586593,0.77,33.759701265360626,2.5188392814993716,37.498961672415284,0.054539055999999995
100,10,10,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.36454137516586593,0.77,33.759701265360626,3.285611832141905,38.26573422305782,0.055364056999999994
100,10,10,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.36454137516586593,0.77,33.759701265360626,3.039263598140761,38.01938598905667,0.058380404000000004
100,10,10,0.01,0.9,50,3,linear,0,0.5141693648252452,True,0.3486917501586544,0.78,34.23519001557697,3.251100394359638,38.72256116049911,0.06260495900000002
100,10,10,0.01,0.9,100,3,linear,0,0.5141693648252452,True,0.38039100017307753,0.76,33.442708765216395,3.8177196817682897,38.46499994753277,0.118881105
100,10,10,0.01,0.9,100,3,linear,0,0.5141693648252452,True,0.3962406251802891,0.75,33.125716265072164,3.4117407603148955,37.72617890092793,0.10311167599999999
100,10,10,0.01,0.9,100,3,linear,0,0.5141693648252452,False,0,0.73,32.17473876463947,3.196396240564202,36.52815763073012,0.08434548600000003
100,10,10,0.01,0.9,100,3,linear,0,0.5141693648252452,True,0.3962406251802891,0.75,33.125716265072164,3.530717393366168,37.8451555339792,0.134769933
100,10,10,0.01,0.9,100,3,linear,0,0.5141693648252452,True,0.36454137516586593,0.77,34.07669376550486,4.118702071496077,39.41581696255622,0.11290351099999996
100,10,10,0.01,0.9,100,10,linear,0,0.5141693648252452,True,0.38039100017307753,0.76,63.71549252899048,3.6263909552892084,68.54645498482778,0.10594523
100,10,10,0.01,0.9,100,10,linear,0,0.5141693648252452,True,0.36454137516586593,0.77,71.79880128266838,3.6937652338238336,76.71298764204751,0.111161959
100,10,10,0.01,0.9,100,10,linear,0,0.5141693648252452,True,0.3962406251802891,0.75,69.57985378165877,3.4470671662302577,74.21564282342989,0.11620451899999999
100,10,10,0.01,0.9,100,10,linear,0,0.5141693648252452,True,0.33284212515144285,0.79,70.84782378223571,4.5283673398895115,76.62831149769492,0.11122799900000004
100,10,10,0.01,0.9,100,10,linear,0,0.5141693648252452,True,0.3962406251802891,0.75,68.78737253129819,3.142726787656916,73.11882119449598,0.104780206
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.253594000115385,0.84,75.1272225341828,3.087574388735557,79.54616542352413,0.24859514300000002
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.33284212515144285,0.79,62.44752252841356,2.505555820495514,66.20519872447878,0.22374674700000002
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.3011428751370197,0.81,64.19098127920682,2.6899970756596394,68.1647979804506,0.236187817
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,57.85113127632219,2.8995190207208656,62.05031954763441,0.21860113299999995
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,71.16481628237992,3.077683412696333,75.5421689456676,0.262837722
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.26944362512259656,0.83,66.88541753043279,3.687223469257908,71.88815987528926,0.20216589
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,77.18767378512028,4.62722186096141,83.17796339670188,0.20974444899999997
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,72.74977878310108,3.0921482506808657,77.14159628437329,0.225126294
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,False,0,0.76,67.20241003057703,2.6649401645202384,71.07192169564536,0.17959311900000002
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.3011428751370197,0.81,69.73835003173087,3.242661576146828,74.26483123346183,0.21064000000000008
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,43.110980019615454,2.6301347668819335,47.04078403708874,0.18484584599999998
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.253594000115385,0.84,44.695942520336615,2.6310080737480863,48.65831909469047,0.16095335800000002
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,41.52601751889429,2.1781702239967267,44.97215774346795,0.18329179600000003
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,41.52601751889429,2.2547063789814055,45.048693898452626,0.16153693000000005
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,40.57504001846161,2.2437313679980173,44.11844063705097,0.168716486
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,42.160002519182754,2.298462149808709,45.75813391958282,0.100203938
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.3486917501586544,0.78,39.62406251802891,1.7439847954332288,42.60431806402464,0.07077118200000002
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,41.20902501875006,2.2012041002866782,44.678199119613666,0.09832921199999997
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,41.84301001903853,2.5234694725344053,45.66614874216429,0.10486636599999997
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,42.79398751947122,2.609078038835264,46.766133308926676,0.08474598999999998
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,41.20902501875006,2.1740054269567777,44.65100044628376,0.13859280799999998
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,41.84301001903853,2.2901099693815854,45.43278923901146,0.08833183800000001
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,40.5750400184616,2.015466608608775,43.858476627647306,0.07626916400000003
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,45.96391252091354,3.1154653282688356,50.44244559980257,0.17178892999999995
50,10,5,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.22189475010096188,0.86,42.16000251918276,2.6292353328831917,46.15230560268615,0.13588860200000005
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.33284212515144285,0.79,75.28571878425493,6.11446337272639,82.65230253255103,2.407195507
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,76.39519253475973,6.271330069097728,83.93449260443438,2.8448582460000007
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.33284212515144285,0.79,75.28571878425493,6.0132798414792274,82.55111900130387,2.52700786
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,76.87068128497609,5.990862424865577,84.12951371041859,2.0691803010000003
100,10,10,0.02,0.9,100,10,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,76.87068128497609,6.4865698660099405,84.62522115156294,3.183705738
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,34.710678765793325,6.1602991085275765,42.13894787489782,4.588835996
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.33284212515144285,0.79,34.235190015576975,5.714540074744685,41.20185046589137,3.4926605970000004
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,35.66165626622601,6.406468650648992,43.36779416746636,3.4895650430000003
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.3011428751370197,0.81,35.18616751600967,5.864411213645598,42.3343983552394,3.621705445
100,10,10,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.3011428751370197,0.81,35.18616751600967,6.289358818102353,42.759345959696155,3.605112958999998
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,35.186167516009675,2.8826564612661394,39.336793977852736,3.925443221818182
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,35.186167516009675,3.077636539117529,39.531774055704126,4.619854640000001
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.3458100001573432,0.7818181818181819,34.235190015576975,2.860470021371154,38.334812537511944,4.38699223090909
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,35.186167516009675,2.826463636581158,39.28060115316775,4.015757781818183
55,11,5,0.02,0.9,121,3,linear,0,0.4635219581793357,True,0.2881750001311193,0.8181818181818182,36.13714501644237,2.564234038140259,39.99816655517266,3.117109843636364
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,29.48030251341351,1.487298515887005,32.26727027989186,0.06848858999999999
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,2.1749775432606,36.1565735587222,0.09382323
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.6990525937270693,34.697971858741546,0.125027938
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.15849625007211562,0.9,35.50316001615391,2.8277053272487875,39.75733159405174,0.07830382000000004
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.19019550008653877,0.88,32.3332350147116,2.2402091388274297,35.968211154173645,0.07072958400000004
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.885896296510369,31.429597309952722,0.096011706
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.31699250014423125,0.8,30.748272513990432,1.3822220588794714,33.39846457344683,0.06182406600000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,29.48030251341351,1.4652286678135056,32.245200431818354,0.100163716
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.6608335482561103,30.221857811251343,0.09353023400000002
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,1.590115102072151,35.571711117533745,0.07255443
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.19019550008653877,0.88,28.84631751312504,1.9245361727774968,32.16562068653716,0.080218912
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,31.69925001442313,1.3865427642779857,34.38546202929246,0.05173548799999999
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,27.261355012403886,1.7500022813899379,30.31102654438517,0.101229124
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,32.65022751485582,2.3056105338599604,36.28720654932155,0.200185026
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.2852932501298081,0.82,29.48030251341351,1.5752882674737156,32.35526003147857,0.14037312199999996
50,10,5,0.02,0.9,100,3,linear,0,0.4635219581793357,True,0.253594000115385,0.84,28.212332512836582,1.7656268749179151,31.309327888360272,0.07735458600000002
